year,country,country_name,arrivals
2019,AUS,Australia,368271
2020,AUS,Australia,85148
2021,AUS,Australia,1900
2022,AUS,Australia,179375
2023,AUS,Australia,409096
2024,AUS,Australia,357525
2019,BGD,Bangladesh,179000
2020,BGD,Bangladesh,57670
2021,BGD,Bangladesh,8061
2022,BGD,Bangladesh,239144
2023,BGD,Bangladesh,635545
2024,BGD,Bangladesh,334011
2019,BRN,Brunei,1216123
2020,BRN,Brunei,187788
2021,BRN,Brunei,4162
2022,BRN,Brunei,398291
2023,BRN,Brunei,1113225
2024,BRN,Brunei,1435830
2019,CHN,China,3114257
2020,CHN,China,394813
2021,CHN,China,15555
2022,CHN,China,294311
2023,CHN,China,1661719
2024,CHN,China,3211029
2019,GBR,United Kingdom,346485
2020,GBR,United Kingdom,75176
2021,GBR,United Kingdom,5007
2022,GBR,United Kingdom,163998
2023,GBR,United Kingdom,325653
2024,GBR,United Kingdom,345519
2019,IDN,Indonesia,3623277
2020,IDN,Indonesia,792231
2021,IDN,Indonesia,20048
2022,IDN,Indonesia,1742038
2023,IDN,Indonesia,3734821
2024,IDN,Indonesia,3596939
2019,IND,India,735309
2020,IND,India,201631
2021,IND,India,14485
2022,IND,India,472326
2023,IND,India,930548
2024,IND,India,1214148
2019,JPN,Japan,424694
2020,JPN,Japan,98775
2021,JPN,Japan,6817
2022,JPN,Japan,127017
2023,JPN,Japan,324050
2024,JPN,Japan,343665
2019,KOR,South Korea,673065
2020,KOR,South Korea,140362
2021,KOR,South Korea,5348
2022,KOR,South Korea,187941
2023,KOR,South Korea,444660
2024,KOR,South Korea,477791
2019,PHL,Philippines,421908
2020,PHL,Philippines,97011
2021,PHL,Philippines,7840
2022,PHL,Philippines,234363
2023,PHL,Philippines,510580
2024,PHL,Philippines,506081
2019,SGP,Singapore,10163882
2020,SGP,Singapore,2777821
2021,SGP,Singapore,17692
2022,SGP,Singapore,8389031
2023,SGP,Singapore,14885712
2024,SGP,Singapore,15049829
2019,THA,Thailand,1884306
2020,THA,Thailand,537336
2021,THA,Thailand,319365
2022,THA,Thailand,1213634
2023,THA,Thailand,2362222
2024,THA,Thailand,1962819
2019,TWN,Chinese Taipei,382916
2020,TWN,Chinese Taipei,66860
2021,TWN,Chinese Taipei,1161
2022,TWN,Chinese Taipei,58917
2023,TWN,Chinese Taipei,314100
2024,TWN,Chinese Taipei,369188
2019,USA,United States,269928
2020,USA,United States,54456
2021,USA,United States,3265
2022,USA,United States,126536
2023,USA,United States,267340
2024,USA,United States,256745
2019,VNM,Vietnam,400346
2020,VNM,Vietnam,72079
2021,VNM,Vietnam,1305
2022,VNM,Vietnam,200122
2023,VNM,Vietnam,402145
2024,VNM,Vietnam,343800
