state,visitors_000,year
Johor,7243,2020
Johor,3658,2021
Johor,12376,2022
Johor,15805,2023
Johor,17138,2024
Kedah,10831,2020
Kedah,4023,2021
Kedah,11186,2022
Kedah,13444,2023
Kedah,14651,2024
Kelantan,6058,2020
Kelantan,1921,2021
Kelantan,6627,2022
Kelantan,7549,2023
Kelantan,10514,2024
Melaka,7275,2020
Melaka,3878,2021
Melaka,11757,2022
Melaka,15559,2023
Melaka,19128,2024
Negeri Sembilan,7918,2020
Negeri Sembilan,5485,2021
Negeri Sembilan,11490,2022
Negeri Sembilan,14959,2023
Negeri Sembilan,17785,2024
Pahang,9905,2020
Pahang,3405,2021
Pahang,13189,2022
Pahang,16456,2023
Pahang,20174,2024
Perak,13173,2020
Perak,4489,2021
Perak,14567,2022
Perak,17108,2023
Perak,21776,2024
Perlis,1193,2020
Perlis,407,2021
Perlis,1669,2022
Perlis,1951,2023
Perlis,3225,2024
Pulau Pinang,8929,2020
Pulau Pinang,5061,2021
Pulau Pinang,10003,2022
Pulau Pinang,13128,2023
Pulau Pinang,16605,2024
Sabah,10337,2020
Sabah,3815,2021
Sabah,12589,2022
Sabah,16080,2023
Sabah,20592,2024
Sarawak,9393,2020
Sarawak,6511,2021
Sarawak,15465,2022
Sarawak,17901,2023
Sarawak,19626,2024
Selangor,19715,2020
Selangor,10212,2021
Selangor,21990,2022
Selangor,27579,2023
Selangor,34461,2024
Terengganu,7420,2020
Terengganu,3719,2021
Terengganu,10233,2022
Terengganu,11761,2023
Terengganu,14461,2024
W.P. Kuala Lumpur,12435,2020
W.P. Kuala Lumpur,9116,2021
W.P. Kuala Lumpur,16913,2022
W.P. Kuala Lumpur,22233,2023
W.P. Kuala Lumpur,26983,2024
W.P. Labuan,107,2020
W.P. Labuan,54,2021
W.P. Labuan,244,2022
W.P. Labuan,331,2023
W.P. Labuan,450,2024
W.P. Putrajaya,451,2020
W.P. Putrajaya,223,2021
W.P. Putrajaya,1306,2022
W.P. Putrajaya,1900,2023
W.P. Putrajaya,2557,2024
