state,year,total_intl_arrivals,top1_country,top2_country,top3_share_pct
Johor,2022,9374160,Singapore,Indonesia,92.3
Kedah,2022,537127,Thailand,Singapore,90.8
Kelantan,2022,186149,Thailand,KHM,98.9
Melaka,2022,49385,Indonesia,Singapore,99.5
Negeri Sembilan,2022,50226,Indonesia,Singapore,99.9
Pahang,2022,1603,Singapore,Thailand,72.4
Perak,2022,92868,Thailand,Singapore,91.2
Perlis,2022,437251,Thailand,KHM,97.1
Pulau Pinang,2022,390584,Indonesia,Singapore,75.3
Sabah,2022,142154,South Korea,Indonesia,74.9
Sarawak,2022,628152,Brunei,Indonesia,93.6
Selangor,2022,3252445,Indonesia,India,37.5
Terengganu,2022,33,United Kingdom,FRA,51.5
W.P. Labuan,2022,6375,Brunei,Philippines,82.3
Johor,2023,17211075,Singapore,Indonesia,90.4
Kedah,2023,1067038,Thailand,Singapore,85.8
Kelantan,2023,547203,Thailand,KHM,98.8
Melaka,2023,56977,Indonesia,Singapore,99.0
Negeri Sembilan,2023,85615,Indonesia,FRA,99.9
Pahang,2023,9211,Singapore,China,76.3
Perak,2023,229234,Thailand,Singapore,91.1
Perlis,2023,686268,Thailand,KHM,95.1
Pulau Pinang,2023,1033007,Indonesia,Singapore,74.6
Sabah,2023,354341,South Korea,China,71.3
Sarawak,2023,1659515,Brunei,Indonesia,92.4
Selangor,2023,7553241,Indonesia,China,38.8
Terengganu,2023,52,Indonesia,CAN,34.6
W.P. Labuan,2023,22527,Brunei,Philippines,81.2
Johor,2024,17744548,Singapore,Indonesia,90.5
Kedah,2024,828510,Thailand,Indonesia,79.7
Kelantan,2024,541577,Thailand,KHM,98.7
Melaka,2024,37919,Indonesia,Singapore,98.5
Negeri Sembilan,2024,61425,Indonesia,Thailand,99.6
Pahang,2024,8929,Singapore,China,74.3
Perak,2024,180334,Thailand,Singapore,90.4
Perlis,2024,559590,Thailand,KHM,94.2
Pulau Pinang,2024,1036729,Indonesia,Singapore,73.7
Sabah,2024,584180,China,South Korea,78.7
Sarawak,2024,1998341,Brunei,Indonesia,92.9
Selangor,2024,8299628,China,Indonesia,50.0
Terengganu,2024,91,DNK,Vietnam,50.5
W.P. Labuan,2024,17365,Brunei,Philippines,78.6
